"year","GSawlog_uB","GPulpFuel_uB","GResidues"
2021,25902000,40490000,7600000
2026,26462000,41210000,7600000
2031,27571000,41900000,7600000
2036,30876000,42470000,7600000
2041,33888000,43050000,7600000
2046,35728000,43630000,7600000
2051,37252000,44190000,7600000
2056,37512000,44630000,7600000
2061,37726000,45060000,7600000
2066,37756000,45440000,7600000
2071,37786000,45820000,7600000
2076,37816000,46150000,7600000
2081,37850000,46410000,7600000
2086,37900000,46380000,7600000
2091,37949999,46350000,7755999
2096,38000000,46370000,8536000
2101,38040000,46380000,9160000
2106,38040000,46380000,9160000
2111,38040000,46380000,9160000
2116,38040000,46380000,9160000
